county_id,ideb_score,ideb_publication_year,ideb_score_status
1200104,6.8,2019,Observado
1200138,2.7,2007,Projetado
1200138,3,2009,Projetado
1200138,3.4,2011,Projetado
1200138,3.7,2013,Projetado
1200138,4,2015,Projetado
1200138,4.3,2017,Projetado
1200138,4.6,2019,Projetado
1200138,4.9,2021,Projetado
1200138,2.6,2005,Observado
1200138,3.1,2007,Observado
1200138,3.3,2009,Observado
1200138,4.1,2011,Observado
1200138,4.4,2013,Observado
1200138,4.1,2015,Observado
1200138,4.5,2017,Observado
1200138,4.5,2019,Observado
1200179,2.9,2007,Projetado
1200179,3.2,2009,Projetado
1200179,3.7,2011,Projetado
1200179,3.9,2013,Projetado
1200179,4.2,2015,Projetado
1200179,4.5,2017,Projetado
1200179,4.8,2019,Projetado
1200179,5.1,2021,Projetado
1200179,2.8,2005,Observado
1200179,3.4,2007,Observado
